frame_id,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,0.3286769986152649,-0.7813130617141724,-0.653104305267334,-0.1511949896812439,-0.8350649476051331,-0.6751090884208679,0.24775737524032593,-0.6768395900726318,-0.5861043334007263,-0.10545594990253448,-0.7170730829238892,-0.6081091165542603
6,0.33135009873906895,-0.778080879577659,-0.645346935357132,-0.16816334854562953,-0.8199689973678812,-0.667339737977066,0.24672588277856633,-0.6749492276993021,-0.578346935357132,-0.11957730035980418,-0.703033386596702,-0.6003397379770661
14,0.3261941863415754,-0.7725355588503493,-0.6470359025428987,-0.16758642660398126,-0.8184436523028029,-0.6634795127342439,0.2409122778294599,-0.671156521946968,-0.5800359025428987,-0.11836280988473535,-0.7026514970369948,-0.5964795127342439
15,0.32584481800736165,-0.7722157159625522,-0.647316022156895,-0.16735147570430065,-0.8186876097499363,-0.6631510093204387,0.24045194054783559,-0.6710138240634433,-0.580316022156895,-0.11812639122067714,-0.702933184224271,-0.5961510093204387
16,0.3262167409151573,-0.7727243919217983,-0.6471901882569031,-0.16717510073485187,-0.8196141738737026,-0.6629928697029785,0.24078342170415112,-0.6714370865667263,-0.580190188256903,-0.11797844766678622,-0.7037569899404446,-0.5959928697029785
17,0.3266486884061619,-0.7734114405004182,-0.6470866760402569,-0.16691241553384817,-0.820128607401053,-0.6629042586475262,0.24123125383298838,-0.6721000548688569,-0.5800866760402569,-0.11773149809200323,-0.7042145010320344,-0.5959042586475262
18,0.3270276680249693,-0.7737670412675854,-0.6465580709459313,-0.1667077496986864,-0.820760237278175,-0.6623977668764123,0.24155144837088605,-0.6724702587739941,-0.5795580709459314,-0.11751903894953708,-0.7047998777048108,-0.5953977668764123
19,0.3270706238337582,-0.774425371005246,-0.6459807263133299,-0.16651551405705756,-0.8210588529846161,-0.6618702517268431,0.24159863610945398,-0.6730901435157746,-0.57898072631333,-0.11730625460662192,-0.7050502732536286,-0.5948702517268432
20,0.3274648430059133,-0.7745181616162973,-0.6454516696162924,-0.16635403612158917,-0.8214696343755441,-0.6612327741809592,0.24189654907681324,-0.6732400949811654,-0.5784516696162924,-0.11711136081717632,-0.7054494317388253,-0.5942327741809591
21,0.327557928768879,-0.7747842128937457,-0.6451436753274649,-0.16636171201061623,-0.8214856441681597,-0.660898136615917,0.24201364061046227,-0.6734736021225665,-0.5781436753274648,-0.11711701014828102,-0.7054597790901873,-0.593898136615917
22,0.32772610119569534,-0.7751377850768486,-0.6449515792965941,-0.16637063988458878,-0.8216376334426323,-0.6606876227498106,0.2422038220523619,-0.6737626224753777,-0.5779515792965941,-0.11710418232691056,-0.7055928736922661,-0.5936876227498107
23,0.327995436433864,-0.7754921820305558,-0.6448078597752331,-0.16645538603870835,-0.821844091668007,-0.6606234754292248,0.2424885203877214,-0.6740724947594376,-0.5778078597752332,-0.11719616299478974,-0.7057703640602799,-0.5936234754292249
24,0.3280955881373304,-0.7757433498353716,-0.6446523806138587,-0.16655389661627829,-0.8218328798265215,-0.6605003615899634,0.24261114304226816,-0.6742843831033465,-0.5776523806138586,-0.11728834802943289,-0.7057782853097674,-0.5935003615899633
25,0.3283717052658386,-0.7758893952788752,-0.644629672993013,-0.16673977508942417,-0.8221398578109187,-0.6604191818125931,0.24287119671900936,-0.6743766055526179,-0.5776296729930129,-0.11743000730673603,-0.7060655937613887,-0.593419181812593
