frame_id,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,0.3286544680595398,-0.7815491557121277,-0.6529579162597656,-0.1509004384279251,-0.8348857164382935,-0.6750749349594116,0.24776656925678253,-0.677051842212677,-0.585957944393158,-0.10517148673534393,-0.7168956398963928,-0.608074963092804
4,0.3382562372935354,-0.7795873435097747,-0.6446144997726078,-0.1612295981394709,-0.8217047603684478,-0.6674534499297733,0.2537600819123327,-0.6759546549874358,-0.5776144997726078,-0.11330694964999566,-0.7043785603600554,-0.6004534499297733
13,0.2678585066769301,-0.6700237020086206,-0.6961527429939378,-0.09419530487321026,-0.7483899220060266,-0.6840814315200914,0.19830422246195667,-0.5819393023084558,-0.6291527429939379,-0.05682769274972088,-0.6483802422117151,-0.6170814315200914
14,0.2675060851925082,-0.6699548273136315,-0.6955737611951844,-0.09346916540926031,-0.748156121258944,-0.6834969064893739,0.19790201619798609,-0.5823128728916345,-0.6285737611951845,-0.05635340526168875,-0.6487629919101892,-0.6164969064893739
15,0.26716585125723213,-0.6702837875163823,-0.6954177259012722,-0.09282476786574989,-0.7480926444804936,-0.6833817003771328,0.19755421247282356,-0.5829575588977605,-0.6284177259012722,-0.0559333596011129,-0.6491828491962224,-0.6163817003771328
16,0.26794553566469403,-0.6713306605633989,-0.6948573280369528,-0.09272280317054538,-0.7495525777158036,-0.6826330114399679,0.1982073711205885,-0.583968609553267,-0.6278573280369528,-0.05584482085214404,-0.6505133211430802,-0.615633011439968
17,0.26878441195913183,-0.6720593909667514,-0.6950261784822869,-0.09216638583711756,-0.7502963284896396,-0.6825063420565056,0.19904316287465917,-0.5846342782424472,-0.6280261784822869,-0.055307797380010015,-0.6511726121352694,-0.6155063420565057
18,0.26934692599206755,-0.6734077683468058,-0.694405813788755,-0.09191960505813768,-0.7513395896930888,-0.682356138800962,0.19963753559022734,-0.5859726420421794,-0.627405813788755,-0.0550003018197458,-0.6521094194431498,-0.6153561388009621
19,0.2695888666148676,-0.674022306320694,-0.6934420646703001,-0.09157492092890607,-0.7514652503705292,-0.6814925254857298,0.1999237177606119,-0.5865105880475312,-0.6264420646703002,-0.0546059521202551,-0.6521699322438508,-0.6144925254857299
20,0.2700214799206151,-0.6752490933104127,-0.6935758213257868,-0.09112437407566176,-0.7515699203177064,-0.6815143446183283,0.20033228059219255,-0.5876445706053346,-0.6265758213257868,-0.05403413216663466,-0.6523593599958986,-0.6145143446183283
21,0.2705032782341732,-0.6769350321083039,-0.6938318613410883,-0.09104964568359719,-0.7524130494384735,-0.6818537119270258,0.20081714854495658,-0.5892631561546295,-0.6268318613410884,-0.05392930342895852,-0.6532517821578949,-0.6148537119270259
22,0.2714140464904631,-0.6784779258996423,-0.6939096433616141,-0.09077283987971896,-0.753843409660476,-0.6817258579230765,0.20166978737142927,-0.5907936521798547,-0.6269096433616141,-0.053625787293640315,-0.6547257133752282,-0.6147258579230765
23,0.2717585622685874,-0.6793390612401708,-0.694481974258444,-0.09085948175015801,-0.75473893688104,-0.6822674328232023,0.20203397268232948,-0.5916140179433569,-0.6274819742584441,-0.05367563074651116,-0.6555997233190283,-0.6152674328232024
24,0.27209676434904395,-0.6800973807876289,-0.6947652133903757,-0.09081095824330987,-0.7555374299590767,-0.6825873288116708,0.20238646497637092,-0.5923065339629829,-0.6277652133903757,-0.05360857764571847,-0.6563271080558479,-0.6155873288116709
25,0.27278907620529935,-0.6812093654771161,-0.694821634087013,-0.09076108760018542,-0.7560224333901715,-0.6829451701969373,0.20308399223904416,-0.5933703580994916,-0.6278216340870131,-0.05352482176203921,-0.6568155685563397,-0.6159451701969374
26,0.2733996868500981,-0.6823266482715553,-0.695183352337146,-0.09070434566638141,-0.7574093675975746,-0.6835099018671753,0.20365188125470013,-0.5944630241756386,-0.6281833523371461,-0.053384007476779516,-0.6581382489566749,-0.6165099018671754
27,0.3406111167587369,-0.7910269773019536,-0.6467765195220563,-0.15503558350428648,-0.8371997153772099,-0.6628766877502057,0.2550984488643735,-0.6894658482087834,-0.5797765195220563,-0.10571187568530149,-0.7210583961023076,-0.5958766877502057
28,0.34100488024887454,-0.7918343830569938,-0.6463342607503291,-0.15470613342586148,-0.8378244925006584,-0.662403255749261,0.2555046846264304,-0.6902052450641349,-0.5793342607503291,-0.10535736930432904,-0.7216381717189506,-0.595403255749261
29,0.34153493993107986,-0.7924195933192095,-0.645851064265109,-0.1544750953453331,-0.8377097058146319,-0.6623577361706265,0.2560442363483162,-0.6907484936564288,-0.578851064265109,-0.10511546082670975,-0.7215629029124102,-0.5953577361706266
30,0.3421826164867525,-0.7926396164875769,-0.6451747244691359,-0.1539532441947813,-0.8382946882229589,-0.6618524617051589,0.25664783526917745,-0.6909986171704077,-0.578174724469136,-0.10472301881054591,-0.7221211824398779,-0.5948524617051589
31,0.3425561883504997,-0.7929431546617707,-0.6452594272504866,-0.15374638652247086,-0.8390767324854096,-0.6619040839086592,0.25705752754765854,-0.6912787903238495,-0.5782594272504866,-0.1045863530580391,-0.7228159058977326,-0.5949040839086592
32,0.3432581514953199,-0.7932448425817711,-0.6451229006488501,-0.15357512823356956,-0.8396499195623619,-0.6616189033229529,0.2576902300952497,-0.6916861572790367,-0.5781229006488502,-0.10440473101152747,-0.7234372535276634,-0.594618903322953
33,0.3435639327599347,-0.7937038272757491,-0.6442915340739928,-0.1533751154111087,-0.8399186462302168,-0.6607353826839171,0.2581067120863736,-0.692182216062065,-0.5772915340739928,-0.10412738861305115,-0.7238203615088423,-0.5937353826839171
34,0.3443571526095184,-0.7937225067253166,-0.644255804672859,-0.15254674372226873,-0.8406202756996208,-0.6604612347036818,0.2588930475994857,-0.6922059023017937,-0.5772558046728591,-0.10337794092447439,-0.7244072520370537,-0.5934612347036818
35,0.34477901429090707,-0.7939671666499635,-0.6443005985201962,-0.15230676561441214,-0.8404089600917359,-0.6604880279482968,0.25929734081182687,-0.6924642116900941,-0.5773005985201962,-0.1030364710077265,-0.7242823631640931,-0.5934880279482968
36,0.3454729006134585,-0.7949503843374259,-0.6441810603064295,-0.15186686958440987,-0.8411045853681571,-0.6604500288885828,0.25990535174241813,-0.6934310977048881,-0.5771810603064296,-0.10260570938953606,-0.7249283377714164,-0.5934500288885829
37,0.3455348322113423,-0.7951707754509698,-0.6440046232355525,-0.15175434854427294,-0.8409847531693231,-0.6600827973497798,0.2599813947399525,-0.6936358724015008,-0.5770046232355526,-0.10243423935571627,-0.7248456988709222,-0.5930827973497799
38,0.3459174227045878,-0.7950693623824918,-0.6437920788675837,-0.1511359471751348,-0.8408782141013944,-0.6598198870569758,0.2603922229336604,-0.6935938851638639,-0.5767920788675838,-0.10188432372342504,-0.7247442858024442,-0.5928198870569759
39,0.3463277675637073,-0.795583969749714,-0.6426039506468368,-0.15083704810058407,-0.8409836355822335,-0.658550815728624,0.26076559801185795,-0.6940966312067758,-0.5756039506468369,-0.10156357209598355,-0.7248613301890146,-0.591550815728624
40,0.34653672424792603,-0.7967055492081272,-0.6414583934165348,-0.15030238183499023,-0.8419082812943088,-0.6575216067649234,0.26097269205092744,-0.6952204160370457,-0.5744583934165348,-0.10109707119227096,-0.7257462792076694,-0.5905216067649235
41,0.3471314290090959,-0.7974561308983539,-0.6411888205966461,-0.14975208253417804,-0.8422862147453998,-0.6572864854297149,0.26156069128956005,-0.6959897731903766,-0.5741888205966461,-0.10055343271051242,-0.726167306816933,-0.590286485429715
42,0.27873972966517613,-0.6906298950671044,-0.6922126997069353,-0.08357297465954616,-0.7616736844538536,-0.6782793987349505,0.20899028494204686,-0.6024641350268212,-0.6252126997069354,-0.04660147265349224,-0.6623439744471398,-0.6112793987349505
43,0.27923447475950525,-0.6922399459181179,-0.6924565518720482,-0.08317866339166358,-0.7624110637007107,-0.6786571229322289,0.20943004475157068,-0.6041217503843654,-0.6254565518720483,-0.046259710330559756,-0.6631375012693752,-0.611657122932229
44,0.2794418898138247,-0.6939723040741228,-0.6923399583765713,-0.08278540850551508,-0.7630691077392839,-0.6784592883059231,0.20961701541273214,-0.6058784868400835,-0.6253399583765713,-0.045858595081881504,-0.663945868222072,-0.6114592883059231
45,0.28052405374364753,-0.6958722085291811,-0.6939806473246717,-0.08244220806045632,-0.7641526669794985,-0.6797161829463148,0.21063079791383643,-0.6075794309908815,-0.6269806473246717,-0.04552767319364648,-0.6649978370005556,-0.6127161829463148
46,0.28100924917634984,-0.6968771227002435,-0.6941533385634029,-0.08224466464344005,-0.7646309145093255,-0.6795116363882625,0.21113748082098027,-0.6083937295079522,-0.6271533385634029,-0.045218028340968885,-0.6654619582295709,-0.6125116363882626
47,0.2812227416779933,-0.6976472428250418,-0.6945075656167246,-0.08189999721980712,-0.7655796697545156,-0.6793338919869638,0.2114468026902614,-0.6091392329144583,-0.6275075656167246,-0.04487802498078963,-0.6664424827504263,-0.6123338919869639
48,0.28158004566466843,-0.6988742489957076,-0.6943651379970033,-0.08155306444132293,-0.766012026801036,-0.6789206208613832,0.21180815979278123,-0.6102570433758956,-0.6273651379970033,-0.044393420374035486,-0.6669005890034896,-0.6119206208613832
49,0.2816954184872884,-0.7005612124230538,-0.6941370732074501,-0.08102966802289302,-0.7667555679108773,-0.6779298550372841,0.21197906924317067,-0.6118696798112069,-0.6271370732074502,-0.04384238230159099,-0.6677371133591805,-0.6109298550372841
50,0.28218709734755976,-0.702308660158451,-0.6944176434558285,-0.08046803566139715,-0.7668119722693518,-0.6775689600985897,0.21241695491153223,-0.6135254556029395,-0.6274176434558285,-0.04322058650177496,-0.6679549867003516,-0.6105689600985897
51,0.28237696410178614,-0.704461882738542,-0.6944551934998271,-0.07988589583874273,-0.766634176401567,-0.6767881383698222,0.21259601832389308,-0.6155821186584944,-0.6274551934998271,-0.04251721083164739,-0.6679824096245284,-0.6097881383698223
52,0.28284531609642727,-0.7071254887450777,-0.6955229104555583,-0.07916114701401966,-0.766188088880881,-0.6771625937021708,0.21307582931149227,-0.6180384793151461,-0.6285229104555583,-0.041766280666706734,-0.6677277126182162,-0.6101625937021709
53,0.28319777343676833,-0.7093098247751186,-0.6966354574928955,-0.07836216147734376,-0.7646129811510036,-0.6773154463539794,0.21340989861892012,-0.6200931156381557,-0.6296354574928955,-0.04096512701107713,-0.6664776886209438,-0.6103154463539795
54,0.2835861144903902,-0.7116661199870578,-0.697254106841221,-0.07777456209623779,-0.7631871828380099,-0.6771925543166544,0.21380086227691208,-0.6222947964015475,-0.6302541068412211,-0.040314532971024164,-0.6653748282733432,-0.6101925543166544
55,0.28387602391558175,-0.713838617066358,-0.6970587500995788,-0.07714125541133399,-0.761617998341535,-0.676562322086731,0.21411872628050332,-0.62441227839372,-0.6300587500995789,-0.0396215545861196,-0.6641936104097113,-0.609562322086731
56,0.2843582302066352,-0.7163457370879769,-0.6978456645169826,-0.0762980163362954,-0.7598182655456185,-0.6765908270040126,0.21472686228480597,-0.626753518688929,-0.6308456645169827,-0.0388205081490014,-0.6628391243102669,-0.6095908270040127
57,0.28485418740274326,-0.7185658512571536,-0.6985010774455913,-0.07547074672220333,-0.7580057082632266,-0.6767857940517314,0.2153008866644086,-0.6288742123106204,-0.6315010774455914,-0.03803880256054981,-0.6614119110563479,-0.6097857940517315
58,0.35427725980662217,-0.8203838107110641,-0.6453626283177909,-0.13941188981152663,-0.8464366433145187,-0.6481117137441215,0.2686395115651976,-0.7189240691186569,-0.578362628317791,-0.08976534088469634,-0.7325626251222275,-0.5811117137441215
59,0.28543303626611305,-0.7234014016103174,-0.6984026693057712,-0.07403874677584099,-0.7557937246274378,-0.6762912534427341,0.21597869413926674,-0.6335178953122522,-0.6314026693057713,-0.03667094093725609,-0.659862313837948,-0.6092912534427342
60,0.28537005808721005,-0.7255021382043196,-0.6979284372669026,-0.07335274788965762,-0.7539236593911482,-0.6754635062557026,0.21607413020501554,-0.6354861903855635,-0.6309284372669026,-0.036037852349181776,-0.6584602642724349,-0.6084635062557027
61,0.28564425751210365,-0.7279385920737695,-0.6968476230358573,-0.07287537858246651,-0.7525662776206445,-0.6746730858540031,0.2165475134515873,-0.6377640958999109,-0.6298476230358574,-0.03566352084635582,-0.6575133796904993,-0.6076730858540031
62,0.2857966289830074,-0.7291935639987059,-0.6968496318113393,-0.0726199730324879,-0.7506645279536315,-0.6751397128355092,0.21694329539059254,-0.6388199287066527,-0.6298496318113393,-0.03545374637724308,-0.6558826523432799,-0.6081397128355093
